Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Needle SAT1 Hapto,SAT1,0.1622501,9.110352,2.536209,0.3770802,2.596873,3.627051,0.01468448,0.01397599,8.912125,3.1275,24.72622
Needle SAT1 Hapto,SAT1,0.156325,9.974772,2.759682,0.3376624,2.755886,4.204263,0.01696832,0.01610829,9.755295,2.8625,27.70623
Needle SAT1 Hapto,SAT1,0.1568184,9.947418,2.769414,0.3510906,2.460735,3.801281,0.01647902,0.01634465,9.760844,2.9975,27.69758
Needle SAT1 Hapto,SAT1,0.1763074,10.42902,2.639223,0.35095,2.364158,3.662292,0.01729393,0.01640706,10.20374,3.06,27.49379
Needle SAT1 Hapto,SAT1,0.1468677,9.228489,2.600191,0.3578502,2.55133,3.996149,0.01793954,0.0170556,9.073387,2.9175,26.80757
Needle SAT1 Hapto,SAT1,0.1341514,7.820799,2.546011,0.3861669,2.89905,4.018311,0.01558762,0.01518092,7.735742,2.94,24.17295
Needle SAT1 Hapto,SAT1,0.1396518,8.484434,2.83198,0.3735905,2.68344,4.412042,0.0154302,0.01625987,8.376234,2.7125,24.68727
Needle SAT1 Hapto,SAT1,0.1615178,10.48308,2.547612,0.353174,2.703515,3.550372,0.01526993,0.01533541,10.22883,3.1275,26.92311
Needle SAT1 Hapto,SAT1,0.1285637,9.394334,2.893913,0.3563533,2.788558,4.567993,0.01647458,0.01643908,9.120829,2.7475,26.8491
Needle SAT1 Hapto,SAT1,0.1954308,7.647872,2.805106,0.42023,2.209862,4.377372,0.015729,0.01571806,7.553798,2.7325,22.95979
Needle SAT1 Hapto,SAT1,0.1829894,9.715513,2.74096,0.3378161,2.364274,4.163467,0.01751813,0.01845068,9.578738,2.84,28.31073
Needle SAT1 Hapto,SAT1,0.1475803,10.06529,2.652506,0.3538611,2.795009,3.580612,0.01677565,0.01544235,9.834813,3.12,26.75145
Needle SAT1 Hapto,SAT1,0.1865966,9.910446,2.742148,0.361945,2.370337,4.084886,0.01671764,0.01593876,9.688962,2.885,26.45588
Needle SAT1 Hapto,SAT1,0.1856375,9.980977,2.565998,0.3459146,2.309073,3.769688,0.0185358,0.01782612,9.806876,3.01,27.61622
Needle SAT1 Hapto,SAT1,0.129095,10.35072,2.698258,0.3615364,2.849132,3.533146,0.01634646,0.01548512,10.07139,3.12,25.95307
Needle SAT1 Hapto,SAT1,0.1507132,9.141863,2.623122,0.3592077,2.617849,4.269723,0.01486686,0.01547824,9.015565,2.88,28.83386
Needle SAT1 Hapto,SAT1,0.1575085,9.215324,2.628492,0.394583,2.679511,3.63061,0.01385369,0.01382199,8.962822,3.09,23.53575
Needle SAT1 Hapto,SAT1,0.1604223,9.456886,2.552745,0.3784898,2.651893,3.631949,0.01465313,0.01443042,9.249004,3.1,24.86692
Needle SAT1 Hapto,SAT1,0.1309692,9.174643,2.606853,0.3631423,3.045354,4.143701,0.01431011,0.0137567,8.986508,2.94,25.36931
Needle SAT1 Hapto,SAT1,0.1549967,9.534634,2.754248,0.3585239,2.724605,4.107799,0.01674794,0.01593476,9.378753,2.8475,27.29397
Needle SAT1 Hapto,SAT1,0.1307715,8.720836,2.602859,0.3573459,2.971041,4.149473,0.01627285,0.01542267,8.577494,2.905,26.46929
Needle SAT1 Hapto,SAT1,0.1685847,9.958343,2.828238,0.3717578,2.476766,3.73326,0.01617594,0.01535092,9.717256,3.01,25.59797
Needle SAT1 Hapto,SAT1,0.1515992,9.339827,2.683548,0.3658174,2.693092,3.872001,0.01817166,0.017202,9.150088,2.94,25.37689
Needle SAT1 Hapto,SAT1,0.1705635,9.867549,2.838573,0.354117,2.412022,3.876635,0.01541129,0.01555692,9.667952,2.965,27.12245
Needle SAT1 Hapto,SAT1,0.1272342,9.680206,2.668764,0.3615654,2.85066,4.112233,0.0156476,0.01560175,9.440399,2.8825,25.76419
Needle SAT1 Hapto,SAT1,0.1164318,8.417569,2.885669,0.3445806,3.09579,4.813553,0.01723951,0.01734696,8.313292,2.585,26.77143
Needle SAT1 Hapto,SAT1,0.1922048,9.109096,2.745392,0.3905639,2.161519,4.157943,0.01384484,0.01538315,8.927462,2.8875,25.52618
Needle SAT1 Hapto,SAT1,0.125761,8.540327,2.785197,0.3541141,2.761168,5.029353,0.01853981,0.01875108,8.445378,2.495,26.16672
Needle SAT1 Hapto,SAT1,0.1547067,9.196221,2.661193,0.3636148,2.734056,3.76438,0.01608098,0.01650472,8.980319,3.0475,26.55818
Needle SAT1 Hapto,SAT1,0.1808826,9.773148,2.838666,0.3578563,2.327285,4.096484,0.01582379,0.01506249,9.569246,2.9175,27.2001
Needle SAT1 Hapto,SAT1,0.1664872,9.918398,2.60231,0.3519838,2.617143,3.58517,0.01656896,0.01575455,9.716147,3.1275,27.01462
Needle SAT1 Hapto,SAT1,0.1340821,9.526637,2.719059,0.3200488,2.752756,4.692882,0.01945023,0.01845812,9.395881,2.66,29.59392
