Type,ID,k,K,delta,b,I0,r,PS,P0,maxViral,TimeMax,cumViral
Needle SAT2 Hapto,SAT2,0.1404717,6.356701,1.992491,0.4036863,2.50736,3.741297,0.01408017,0.01413786,6.310022,3.2275,24.65417
Needle SAT2 Hapto,SAT2,0.1162102,6.799293,2.241508,0.3615244,2.800946,4.330184,0.01433577,0.01379251,6.749515,3.0025,27.59989
Needle SAT2 Hapto,SAT2,0.13125,6.547806,2.296069,0.3939532,2.555402,4.090898,0.01292158,0.01340394,6.434759,3.14,25.70038
Needle SAT2 Hapto,SAT2,0.1343289,6.412828,2.366667,0.3848756,2.363013,4.791475,0.01353797,0.01279637,6.378367,2.81,26.78262
Needle SAT2 Hapto,SAT2,0.1351612,6.094486,2.456114,0.3884682,2.677961,5.096719,0.01274475,0.01322663,6.063656,2.615,26.66049
Needle SAT2 Hapto,SAT2,0.1449259,5.568837,2.413965,0.4173002,2.514146,4.963055,0.01266599,0.01338614,5.539968,2.73,25.06975
Needle SAT2 Hapto,SAT2,0.1280949,5.9511,2.217276,0.3858441,2.621497,4.738867,0.01498,0.01429934,5.93112,2.76,25.38079
Needle SAT2 Hapto,SAT2,0.1339647,5.739333,2.525525,0.3856622,2.435384,5.453734,0.01326084,0.01388206,5.709209,2.505,25.64789
Needle SAT2 Hapto,SAT2,0.1537547,6.896191,2.23591,0.3453714,2.352053,4.741011,0.01607023,0.01557088,6.866876,2.83,28.13334
Needle SAT2 Hapto,SAT2,0.1540915,7.360032,2.327018,0.3615675,2.538223,4.24958,0.01534299,0.01394817,7.246606,2.9975,28.2703
Needle SAT2 Hapto,SAT2,0.1287341,6.581669,2.21634,0.3545157,2.542627,4.654528,0.01610903,0.01550215,6.539836,2.83,27.1117
Needle SAT2 Hapto,SAT2,0.1598544,6.203652,2.385993,0.3720441,2.293027,5.041047,0.01282184,0.01424649,6.184606,2.7025,26.37916
Needle SAT2 Hapto,SAT2,0.1507037,6.064418,2.32111,0.3884791,2.326462,5.09917,0.01334151,0.01325853,6.021535,2.66,26.31862
Needle SAT2 Hapto,SAT2,0.1614407,6.245046,2.615366,0.3844002,2.232518,5.161119,0.01457087,0.01378229,6.184455,2.615,26.46877
Needle SAT2 Hapto,SAT2,0.1482668,5.861562,2.248957,0.4102301,2.410941,4.489851,0.0135943,0.01383285,5.826781,2.9175,24.61856
Needle SAT2 Hapto,SAT2,0.1461812,5.810744,2.251554,0.4227126,2.35574,4.501177,0.01325878,0.01302128,5.768725,2.9225,24.60577
Needle SAT2 Hapto,SAT2,0.1676325,6.404016,2.134549,0.4450503,2.241692,3.785991,0.01399651,0.0127241,6.355328,3.2175,25.12532
Needle SAT2 Hapto,SAT2,0.1319595,5.497251,2.280415,0.3939009,2.475497,4.867747,0.01376834,0.01311512,5.482399,2.76,24.96726
Needle SAT2 Hapto,SAT2,0.1542971,6.230952,2.546337,0.3333411,2.348381,5.77101,0.01444873,0.01605415,6.219731,2.4,29.11279
Needle SAT2 Hapto,SAT2,0.1187713,5.461076,2.296618,0.4151956,2.744544,4.584067,0.01390669,0.0132431,5.441927,2.8525,24.56721
Needle SAT2 Hapto,SAT2,0.1452709,6.172635,2.298575,0.3848709,2.369821,4.902374,0.01448755,0.01394402,6.150356,2.79,25.81931
Needle SAT2 Hapto,SAT2,0.1491416,5.731189,2.352782,0.3910884,2.38388,5.124507,0.01307891,0.0134962,5.713308,2.675,25.181
Needle SAT2 Hapto,SAT2,0.1291086,5.920107,2.152931,0.3791705,2.616092,4.984509,0.01162527,0.01291697,5.900756,2.7475,26.17746
Needle SAT2 Hapto,SAT2,0.1606458,5.542552,2.398488,0.4640357,2.199385,4.438789,0.01188717,0.01146042,5.50514,2.9625,22.17407
Needle SAT2 Hapto,SAT2,0.1201937,6.058905,2.476569,0.3494927,2.645988,5.389386,0.01402406,0.01408604,6.04187,2.535,27.96752
Needle SAT2 Hapto,SAT2,0.1849166,5.849835,2.326694,0.4165996,2.053719,4.573359,0.01316765,0.01258575,5.804084,2.87,23.7204
Needle SAT2 Hapto,SAT2,0.1432045,6.389715,2.501448,0.3586246,2.482445,5.095574,0.01559813,0.01475894,6.369348,2.635,27.41618
Needle SAT2 Hapto,SAT2,0.1644004,5.873689,2.27114,0.3909767,2.382848,5.084111,0.01320064,0.01408398,5.859483,2.6925,26.65017
Needle SAT2 Hapto,SAT2,0.1609277,6.605076,2.492691,0.345117,2.274832,5.330037,0.01350485,0.01500539,6.586124,2.605,28.40904
Needle SAT2 Hapto,SAT2,0.1310095,7.116973,2.439555,0.3312686,2.53281,4.991977,0.01494299,0.01564995,7.072281,2.69,29.58046
Needle SAT2 Hapto,SAT2,0.1590555,5.878219,2.324909,0.4065033,2.247964,5.357729,0.01233666,0.01283639,5.826794,2.5725,25.39126
Needle SAT2 Hapto,SAT2,0.1560768,6.468798,2.247754,0.3865026,2.253374,4.384868,0.01403819,0.01329743,6.424801,2.9725,26.43695
Needle SAT2 Hapto,SAT2,0.165755,6.273431,2.319084,0.4146055,2.067812,4.572234,0.01206698,0.01234238,6.222202,2.8975,25.2242
Needle SAT2 Hapto,SAT2,0.1529753,6.531466,2.546545,0.3623258,2.322278,5.401151,0.01511659,0.01488641,6.475222,2.5225,29.16401
Needle SAT2 Hapto,SAT2,0.1404775,6.040643,2.485423,0.3677211,2.444291,5.578616,0.0150491,0.01494962,6.01842,2.455,27.79194
Needle SAT2 Hapto,SAT2,0.1674642,6.142989,2.261797,0.390372,2.135724,4.39279,0.01346364,0.01381118,6.108767,3.01,25.82544
Needle SAT2 Hapto,SAT2,0.1481762,6.60578,2.361249,0.3659048,2.425893,4.658216,0.01461943,0.01395519,6.556355,2.8325,27.08263
Needle SAT2 Hapto,SAT2,0.1558404,5.69095,2.592944,0.3589494,2.329757,5.986687,0.0134028,0.01463591,5.680944,2.3375,26.99837
Needle SAT2 Hapto,SAT2,0.1345708,5.63789,2.255568,0.4095813,2.565452,4.570116,0.01197842,0.01237016,5.609355,2.9075,23.52293
Needle SAT2 Hapto,SAT2,0.1326445,6.55907,2.372211,0.3475438,2.624934,5.076263,0.01651235,0.01573916,6.541738,2.7025,29.52978
Needle SAT2 Hapto,SAT2,0.1515434,5.777481,2.346467,0.3850327,2.268577,5.201308,0.01222572,0.01358414,5.757142,2.65,25.59122
Needle SAT2 Hapto,SAT2,0.1663758,7.464502,2.360893,0.3664428,2.215245,3.918705,0.01306469,0.01257165,7.39641,3.1825,28.33683
Needle SAT2 Hapto,SAT2,0.1504065,5.650312,2.359314,0.3915518,2.245389,4.920455,0.0128103,0.01357327,5.616328,2.755,24.86136
Needle SAT2 Hapto,SAT2,0.1591934,5.584143,2.277853,0.4055006,2.067518,4.901472,0.01268883,0.01352451,5.564189,2.78,25.57919
Needle SAT2 Hapto,SAT2,0.1259189,5.725212,2.306341,0.3959364,2.714661,4.992902,0.01352504,0.01344409,5.704313,2.6725,25.04324
Needle SAT2 Hapto,SAT2,0.1389189,7.153711,2.212923,0.3609657,2.573535,3.766308,0.01298501,0.01287804,7.070031,3.23,27.11438
Needle SAT2 Hapto,SAT2,0.1462804,6.302983,1.78756,0.4047448,2.506443,3.559275,0.01206091,0.01176448,6.23895,3.4375,24.41727
Needle SAT2 Hapto,SAT2,0.1317925,6.655195,2.371087,0.3549479,2.54961,4.84701,0.01497003,0.0149318,6.606774,2.77,27.82104
Needle SAT2 Hapto,SAT2,0.1450453,6.800981,2.415725,0.3683879,2.547326,4.549748,0.01491172,0.01355611,6.747871,2.8575,26.68025
Needle SAT2 Hapto,SAT2,0.1194278,5.948064,2.584128,0.3525059,2.707326,5.930764,0.01290977,0.01434415,5.93768,2.34,28.45318
Needle SAT2 Hapto,SAT2,0.1196917,6.117735,2.103153,0.3748075,2.618919,4.395515,0.01242933,0.01237616,6.092767,3.045,26.4622
Needle SAT2 Hapto,SAT2,0.1445795,6.496786,2.494715,0.3776767,2.347623,4.917698,0.01370071,0.01394376,6.453022,2.725,28.14422
Needle SAT2 Hapto,SAT2,0.1531688,6.20497,2.401773,0.3810197,2.329521,4.601097,0.01406996,0.01481247,6.172428,2.85,27.20408
Needle SAT2 Hapto,SAT2,0.1515976,6.880774,2.320197,0.3475992,2.494791,4.733788,0.01436635,0.01370164,6.831756,2.785,28.09646
Needle SAT2 Hapto,SAT2,0.1383171,6.015788,2.197177,0.3717342,2.621827,4.772418,0.01395057,0.0138536,5.992358,2.8475,26.5268
Needle SAT2 Hapto,SAT2,0.1331829,5.655838,2.335765,0.3731703,2.616095,4.984392,0.01265337,0.01273752,5.640035,2.745,26.20102
Needle SAT2 Hapto,SAT2,0.1574525,6.789169,2.326701,0.3470043,2.131096,4.318885,0.01425902,0.01423751,6.761272,3.0525,28.27792
Needle SAT2 Hapto,SAT2,0.1912876,6.414746,2.55294,0.3959278,1.990663,5.215029,0.01392674,0.01393613,6.329148,2.615,26.43142
Needle SAT2 Hapto,SAT2,0.1501736,6.027714,2.185914,0.3871217,2.460363,4.511866,0.01242187,0.01297219,6.003128,2.9475,25.81164
Needle SAT2 Hapto,SAT2,0.1635581,6.197656,2.239033,0.4252146,2.257746,4.185487,0.01312156,0.01308614,6.129698,3.0575,23.9147
Needle SAT2 Hapto,SAT2,0.1523557,6.49105,2.444485,0.3566447,2.456062,5.20969,0.01402477,0.0139139,6.464242,2.5675,27.37567
Needle SAT2 Hapto,SAT2,0.1482369,5.893464,2.388308,0.4018889,2.312934,4.942926,0.01440531,0.01429758,5.860873,2.76,24.28692
Needle SAT2 Hapto,SAT2,0.1717072,6.526283,2.474763,0.3698871,2.076785,5.196423,0.01406508,0.01401411,6.450833,2.6125,26.52996
Needle SAT2 Hapto,SAT2,0.1452547,6.241498,2.402414,0.3925201,2.382952,4.749894,0.01355563,0.01373874,6.203661,2.7975,26.39998
Needle SAT2 Hapto,SAT2,0.1554045,5.841249,2.405328,0.4153552,2.323915,4.891278,0.01380932,0.01417356,5.807185,2.7325,24.27185
Needle SAT2 Hapto,SAT2,0.169198,5.541117,2.523496,0.4232593,2.139519,5.217462,0.01449192,0.01471742,5.519444,2.565,24.7468
Needle SAT2 Hapto,SAT2,0.1550802,6.544662,2.437338,0.3534982,2.316123,5.207336,0.01494536,0.01474717,6.524746,2.5875,28.10966
Needle SAT2 Hapto,SAT2,0.155851,6.945226,2.260044,0.3771773,2.386842,3.8249,0.01451871,0.0137048,6.871107,3.18,26.41963
Needle SAT2 Hapto,SAT2,0.1573976,6.145864,2.185306,0.4020932,2.242178,3.843435,0.01448178,0.01365768,6.093793,3.205,24.19443
Needle SAT2 Hapto,SAT2,0.1915866,6.856368,2.104422,0.3805037,2.229678,4.06476,0.01438395,0.01307632,6.789264,3.16,27.06269
Needle SAT2 Hapto,SAT2,0.1443685,6.527524,2.125865,0.3762487,2.476823,4.397452,0.01219695,0.01302972,6.489118,2.9925,27.60357
Needle SAT2 Hapto,SAT2,0.1482584,5.79815,2.495917,0.3884589,2.509595,5.477678,0.01357537,0.01427885,5.766995,2.485,26.1179
Needle SAT2 Hapto,SAT2,0.145896,6.901693,2.291771,0.377931,2.508369,4.212413,0.01456966,0.01381723,6.81311,2.9725,26.08556
Needle SAT2 Hapto,SAT2,0.1139987,5.999037,2.485324,0.3617184,2.820931,5.550132,0.01207003,0.01341114,5.983605,2.4825,27.2335
Needle SAT2 Hapto,SAT2,0.1443375,6.131094,2.336329,0.3831554,2.326784,4.710101,0.01474992,0.0149635,6.106824,2.7975,25.53722
Needle SAT2 Hapto,SAT2,0.1413347,6.486456,2.450118,0.3630519,2.49387,5.037263,0.01452659,0.0142584,6.452252,2.765,27.36419
Needle SAT2 Hapto,SAT2,0.1316498,6.196896,2.271543,0.3934091,2.532941,4.126803,0.01182467,0.01313852,6.160741,3.0625,25.60924
Needle SAT2 Hapto,SAT2,0.1287363,5.924258,2.254495,0.3976645,2.698808,4.542885,0.01487588,0.01413972,5.887075,2.8375,25.16105
Needle SAT2 Hapto,SAT2,0.1419526,7.209961,2.322812,0.3571442,2.488545,4.412381,0.0151752,0.01543715,7.150915,2.96,29.76017
Needle SAT2 Hapto,SAT2,0.1646165,5.616226,2.399411,0.3970544,2.244445,5.068584,0.01412991,0.01331181,5.593215,2.655,24.75864
Needle SAT2 Hapto,SAT2,0.1630045,6.278139,2.611542,0.3643324,2.091602,5.39785,0.01338791,0.0134042,6.258543,2.59,27.69314
Needle SAT2 Hapto,SAT2,0.15249,6.047781,2.382645,0.3758408,2.296124,5.218009,0.01499598,0.01435385,6.028555,2.6375,26.87168
Needle SAT2 Hapto,SAT2,0.142489,6.19001,2.197369,0.384242,2.566152,4.475791,0.01304672,0.01230747,6.157783,2.9975,25.71538
Needle SAT2 Hapto,SAT2,0.1623229,5.747877,2.453975,0.3633587,2.102557,5.645469,0.01493118,0.01532747,5.739018,2.48,27.39242
Needle SAT2 Hapto,SAT2,0.1457095,6.816803,2.375048,0.3795989,2.321994,4.383976,0.01334669,0.01265956,6.745145,3,27.05827
Needle SAT2 Hapto,SAT2,0.1555927,6.720938,2.522033,0.3618404,2.281155,4.978052,0.01705061,0.01604048,6.688876,2.7175,28.04495
Needle SAT2 Hapto,SAT2,0.1256874,6.272525,2.253673,0.3645365,2.492623,4.577513,0.01445896,0.01368872,6.247811,2.8875,27.25194
Needle SAT2 Hapto,SAT2,0.1480262,6.357057,2.460171,0.3895858,2.465384,4.539604,0.01359796,0.01317319,6.30457,2.8775,26.24454
Needle SAT2 Hapto,SAT2,0.1345108,6.409405,2.279632,0.3680697,2.60143,4.737889,0.01458517,0.01432445,6.376811,2.795,26.76205
Needle SAT2 Hapto,SAT2,0.168927,6.173138,2.192649,0.409569,2.149411,4.080804,0.01424073,0.01367479,6.120862,3.06,24.58884
Needle SAT2 Hapto,SAT2,0.1271444,5.679789,2.452867,0.3690842,2.356994,6,0.0126395,0.01404389,5.672859,2.35,29.20027
Needle SAT2 Hapto,SAT2,0.1570356,6.464268,2.208766,0.3865277,2.337394,4.265823,0.01490946,0.01399986,6.419268,2.9975,26.66914
Needle SAT2 Hapto,SAT2,0.1432387,6.467528,2.299341,0.3688116,2.591241,4.897214,0.0131469,0.01331279,6.420973,2.7475,27.30903
Needle SAT2 Hapto,SAT2,0.1572476,5.487743,2.437228,0.4202115,2.161043,5.219783,0.01527155,0.01388323,5.473896,2.595,23.78342
Needle SAT2 Hapto,SAT2,0.1469773,5.459047,2.236828,0.4429524,2.39599,4.566095,0.01255538,0.01207317,5.42654,2.895,22.69427
Needle SAT2 Hapto,SAT2,0.1367808,6.195357,2.491446,0.3613893,2.353017,5.449878,0.01512392,0.01427584,6.177678,2.51,28.11799
Needle SAT2 Hapto,SAT2,0.1535687,6.682993,2.156183,0.3951059,2.290153,3.942107,0.01279075,0.01238091,6.576531,3.1775,25.55665
Needle SAT2 Hapto,SAT2,0.1378855,5.987346,2.513799,0.3743389,2.481211,5.398181,0.01429547,0.01502675,5.969537,2.54,26.75738
Needle SAT2 Hapto,SAT2,0.1651453,6.20151,2.261666,0.3917093,2.271717,4.235131,0.01423255,0.01413698,6.172494,3.0525,24.97788
Needle SAT2 Hapto,SAT2,0.1739957,7.300811,2.55673,0.3698487,2.268387,4.751157,0.01342972,0.01402634,7.164125,2.8125,26.70466
Needle SAT2 Hapto,SAT2,0.1429977,6.245122,2.378413,0.4070911,2.450238,4.706226,0.01389118,0.01310168,6.183978,2.855,25.17671
Needle SAT2 Hapto,SAT2,0.1555716,5.32804,2.174821,0.4161797,2.249037,4.497582,0.01263594,0.01307154,5.304274,2.975,23.90137
Needle SAT2 Hapto,SAT2,0.1367893,6.671968,2.314572,0.3804181,2.620052,4.644479,0.01562169,0.01427753,6.611498,2.7975,26.13797
Needle SAT2 Hapto,SAT2,0.1598318,7.023247,2.337048,0.3378283,2.315418,4.947476,0.01656043,0.0158968,6.977061,2.6975,29.38179
Needle SAT2 Hapto,SAT2,0.1299244,6.501835,2.65692,0.3404794,2.638267,5.396151,0.01695213,0.01614158,6.473646,2.5,28.32526
Needle SAT2 Hapto,SAT2,0.1680681,6.306224,2.468893,0.3741736,2.223538,4.97502,0.01292498,0.01360289,6.265177,2.7325,27.60143
Needle SAT2 Hapto,SAT2,0.1596784,6.362221,2.209191,0.3857239,2.279807,4.039023,0.01295139,0.01284161,6.325681,3.1675,25.28122
Needle SAT2 Hapto,SAT2,0.1169547,6.159178,2.228236,0.3802635,2.746667,4.489131,0.01409707,0.01341144,6.134869,2.9575,26.72395
Needle SAT2 Hapto,SAT2,0.1392993,5.760834,2.5024,0.3688281,2.455799,5.097876,0.01386544,0.01321204,5.74641,2.7175,26.44241
Needle SAT2 Hapto,SAT2,0.1674186,6.071656,2.553465,0.3769081,2.244437,5.627582,0.01233767,0.01370853,6.04774,2.4325,27.06082
Needle SAT2 Hapto,SAT2,0.1462496,6.223269,2.692937,0.3613396,2.504323,5.263245,0.0143284,0.01508713,6.202337,2.53,26.10891
Needle SAT2 Hapto,SAT2,0.1715321,6.620278,2.260951,0.366484,2.200822,4.208077,0.01436964,0.01400345,6.586356,3.0625,26.45926
Needle SAT2 Hapto,SAT2,0.1641943,5.953703,2.60637,0.3812196,2.038613,5.290638,0.01377095,0.01468402,5.937321,2.6175,26.15875
Needle SAT2 Hapto,SAT2,0.1498096,6.638977,2.26821,0.363046,2.228719,4.394671,0.01300036,0.01384899,6.60451,2.96,26.96609
Needle SAT2 Hapto,SAT2,0.1316154,5.855939,2.386998,0.3949019,2.539616,4.942831,0.01451524,0.01384202,5.835019,2.7275,24.88511
Needle SAT2 Hapto,SAT2,0.1723291,6.989009,2.334142,0.3763654,2.222708,4.410549,0.01254917,0.01267324,6.915283,2.98,26.58609
Needle SAT2 Hapto,SAT2,0.1476785,7.290935,2.269,0.3414192,2.536549,4.765041,0.01483112,0.01417351,7.195544,2.805,28.5558
Needle SAT2 Hapto,SAT2,0.1594532,5.601103,2.12719,0.4274905,2.310825,4.340503,0.01407769,0.0133475,5.569794,2.9375,23.04291
Needle SAT2 Hapto,SAT2,0.1647974,6.853354,2.5435,0.3535456,2.211954,5.045938,0.01407161,0.01484845,6.81616,2.6875,28.56437
Needle SAT2 Hapto,SAT2,0.1585608,7.223485,2.64145,0.3357086,2.371825,4.894947,0.01709668,0.01623654,7.155159,2.675,29.23807
Needle SAT2 Hapto,SAT2,0.1589429,5.616618,2.45146,0.4055781,2.344716,5.233948,0.01418532,0.01398156,5.603676,2.6125,25.47857
Needle SAT2 Hapto,SAT2,0.1460177,5.809236,2.278184,0.4026192,2.507704,4.816189,0.01346219,0.01348492,5.788082,2.7875,24.49612
Needle SAT2 Hapto,SAT2,0.1340174,6.479972,2.189905,0.3657933,2.453442,4.476615,0.01290676,0.01353515,6.454316,2.9825,27.56655
Needle SAT2 Hapto,SAT2,0.1207427,6.101184,2.463051,0.3660808,2.805018,5.646454,0.01280144,0.01422382,6.074747,2.4175,26.32265
Needle SAT2 Hapto,SAT2,0.1571745,6.575476,2.377319,0.3862633,2.415673,4.270982,0.01473866,0.01409822,6.524175,2.9575,26.47441
Needle SAT2 Hapto,SAT2,0.1641922,6.208037,2.435107,0.394121,2.140971,4.980016,0.01513321,0.01455773,6.157816,2.6825,25.62768
Needle SAT2 Hapto,SAT2,0.1418818,6.397055,2.497149,0.3656273,2.57056,5.175768,0.01260953,0.01327846,6.345706,2.615,27.37001
Needle SAT2 Hapto,SAT2,0.1550536,6.576672,2.542784,0.3706722,2.208134,5.259437,0.01382381,0.01384033,6.519012,2.585,28.29365
Needle SAT2 Hapto,SAT2,0.156231,6.352898,2.213899,0.3854353,2.348107,4.433114,0.01675605,0.01523277,6.321796,2.9325,25.90277
Needle SAT2 Hapto,SAT2,0.1175686,5.657753,2.205554,0.3815494,2.719077,4.912954,0.01220263,0.01352809,5.640774,2.8025,26.08321
Needle SAT2 Hapto,SAT2,0.1492331,6.349426,2.49248,0.3618172,2.312417,5.340323,0.01509011,0.01533426,6.330679,2.57,28.60022
Needle SAT2 Hapto,SAT2,0.1476837,6.742805,2.277794,0.3710291,2.405322,4.137997,0.01368101,0.0134156,6.66478,3.09,25.99901
Needle SAT2 Hapto,SAT2,0.1739203,7.141192,2.552122,0.3559948,2.196243,4.764093,0.01495348,0.0156775,7.074647,2.815,28.20722
Needle SAT2 Hapto,SAT2,0.1416809,6.618447,2.157384,0.416035,2.365275,3.73434,0.01181413,0.01194746,6.548729,3.3,24.20067
Needle SAT2 Hapto,SAT2,0.1709201,6.641935,2.398738,0.3703698,2.314942,4.852109,0.01513589,0.01522017,6.587011,2.7225,27.40775
Needle SAT2 Hapto,SAT2,0.1572247,6.422866,2.446655,0.3761529,2.323098,4.94868,0.01433558,0.01371628,6.387423,2.69,27.28168
Needle SAT2 Hapto,SAT2,0.1430294,5.963541,2.137216,0.3959412,2.457918,4.317677,0.01421382,0.01442472,5.938565,3.0075,24.99988
Needle SAT2 Hapto,SAT2,0.162666,6.991392,2.208968,0.3887567,2.113437,3.895972,0.01243711,0.01306149,6.923472,3.1775,26.69502
Needle SAT2 Hapto,SAT2,0.1313436,6.19582,2.35575,0.3746435,2.526691,4.526698,0.01321474,0.01364324,6.167693,2.9525,26.82228
Needle SAT2 Hapto,SAT2,0.1501315,6.691176,2.564345,0.3460328,2.437045,5.327268,0.01489518,0.01433449,6.649596,2.555,29.09735
Needle SAT2 Hapto,SAT2,0.1424046,5.518246,2.190363,0.411952,2.319563,4.558732,0.0129405,0.01288314,5.499056,2.9175,24.01638
Needle SAT2 Hapto,SAT2,0.1585635,6.435339,2.462061,0.3779198,2.207384,4.805654,0.01321587,0.01373666,6.376029,2.835,26.33916
Needle SAT2 Hapto,SAT2,0.147597,5.989723,2.1694,0.4011185,2.36745,4.333606,0.01152415,0.01219411,5.958355,3.0575,25.18379
Needle SAT2 Hapto,SAT2,0.1414021,5.787743,2.581768,0.3359302,2.355611,5.999997,0.01294504,0.01438338,5.780029,2.355,29.06525
Needle SAT2 Hapto,SAT2,0.1383744,6.592629,2.376409,0.3569285,2.454468,5.139018,0.01440291,0.01464644,6.574704,2.675,28.69233
Needle SAT2 Hapto,SAT2,0.126737,6.417957,2.176312,0.3925593,2.595442,3.96141,0.01326496,0.01332319,6.366816,3.1125,25.39863
Needle SAT2 Hapto,SAT2,0.101841,6.201348,2.22979,0.3769038,2.81893,4.469424,0.0126328,0.01266523,6.142172,2.92,25.79762
Needle SAT2 Hapto,SAT2,0.1232555,5.93333,2.420212,0.3893228,2.653307,4.772726,0.01314844,0.01368641,5.908634,2.79,25.11486
Needle SAT2 Hapto,SAT2,0.1536787,6.425108,2.040412,0.3857999,2.36512,3.894912,0.01396382,0.01335243,6.377001,3.1825,26.29921
Needle SAT2 Hapto,SAT2,0.1312876,6.01047,2.257807,0.3831215,2.493875,4.792728,0.01471463,0.0140446,5.990038,2.8025,25.74171
Needle SAT2 Hapto,SAT2,0.1390958,6.162508,2.298286,0.3960873,2.550828,3.986817,0.01290052,0.01293642,6.113223,3.1225,24.71799
Needle SAT2 Hapto,SAT2,0.1496104,6.178259,2.340127,0.3931709,2.502309,4.703879,0.01475625,0.01405245,6.117287,2.765,25.04782
Needle SAT2 Hapto,SAT2,0.1219219,6.129006,2.527743,0.3664223,2.682961,5.11037,0.01380713,0.01454411,6.106851,2.655,27.97395
Needle SAT2 Hapto,SAT2,0.1670573,6.545696,2.343104,0.3783949,2.102348,4.935865,0.01398765,0.01330541,6.465443,2.755,27.10521
Needle SAT2 Hapto,SAT2,0.1522824,6.361655,2.325079,0.3731399,2.413204,5.170382,0.01583215,0.01485381,6.327755,2.5925,27.63782
Needle SAT2 Hapto,SAT2,0.1332292,6.336116,2.407832,0.3653139,2.577514,4.759549,0.01451321,0.01319383,6.301873,2.7725,26.23801
Needle SAT2 Hapto,SAT2,0.1567744,6.099293,2.313721,0.3871988,2.356424,5.004799,0.01377514,0.0136484,6.082466,2.71,26.97415
Needle SAT2 Hapto,SAT2,0.1658549,5.97244,2.625118,0.3849434,2.087541,5.564321,0.01297561,0.01441734,5.959208,2.475,26.66836
Needle SAT2 Hapto,SAT2,0.1414293,5.716419,2.261424,0.391975,2.448683,4.756273,0.01282003,0.01368386,5.694418,2.82,24.51979
Needle SAT2 Hapto,SAT2,0.1614671,6.515742,2.194627,0.3979325,2.277827,4.16291,0.01334235,0.01212941,6.453788,3.065,25.82998
Needle SAT2 Hapto,SAT2,0.1578908,6.091247,2.46102,0.3913094,2.362522,5.297403,0.01515426,0.01466458,6.063784,2.5475,26.039
Needle SAT2 Hapto,SAT2,0.126469,5.985681,2.092514,0.3953981,2.691081,4.330669,0.01270757,0.01281137,5.950829,3.0125,24.84044
Needle SAT2 Hapto,SAT2,0.139043,5.490389,2.616207,0.3990555,2.41964,5.892893,0.01245271,0.01301759,5.481174,2.355,26.03999
Needle SAT2 Hapto,SAT2,0.1305108,6.231098,2.175771,0.411888,2.527465,4.257225,0.0122175,0.01262584,6.173306,3.03,25.46354
Needle SAT2 Hapto,SAT2,0.1701224,6.736083,2.32207,0.3522281,2.396556,5.042734,0.0157513,0.01431969,6.704364,2.655,28.36188
Needle SAT2 Hapto,SAT2,0.1584267,5.973479,2.350751,0.3939524,2.483833,4.838438,0.01510455,0.01451382,5.937261,2.725,25.44176
Needle SAT2 Hapto,SAT2,0.138594,5.673901,2.216478,0.3998719,2.50536,5.125776,0.01226907,0.01264283,5.647067,2.66,25.59684
Needle SAT2 Hapto,SAT2,0.1466065,6.18587,2.459865,0.3601793,2.363764,5.146626,0.01290925,0.01382706,6.1656,2.665,27.29247
Needle SAT2 Hapto,SAT2,0.1606144,6.607991,2.27321,0.4210824,2.462444,3.794964,0.0133556,0.01214145,6.50576,3.195,23.46647
Needle SAT2 Hapto,SAT2,0.1822748,6.362958,2.373248,0.3778116,2.015634,4.593096,0.01570051,0.01488843,6.337971,2.9,26.73052
Needle SAT2 Hapto,SAT2,0.1415084,6.707406,2.370553,0.3471047,2.449382,4.875301,0.01371059,0.01398076,6.683416,2.7825,28.33595
Needle SAT2 Hapto,SAT2,0.1139626,5.97276,2.319298,0.3802925,2.658358,4.857519,0.01411077,0.01433391,5.941257,2.74,25.68347
Needle SAT2 Hapto,SAT2,0.13115,5.931326,2.434243,0.4146377,2.550523,4.583306,0.01329199,0.01328848,5.862975,2.8,23.65876
Needle SAT2 Hapto,SAT2,0.1415226,5.991152,2.551266,0.3529455,2.585737,5.792589,0.01372698,0.0145442,5.978179,2.3775,27.36465
Needle SAT2 Hapto,SAT2,0.1246662,6.137055,2.158637,0.3732575,2.677551,4.457295,0.01600207,0.01532577,6.114319,2.875,26.80325
Needle SAT2 Hapto,SAT2,0.1348443,5.712237,1.97876,0.4279996,2.537699,3.90147,0.01333911,0.01264543,5.676902,3.17,23.29389
Needle SAT2 Hapto,SAT2,0.1526709,6.23388,2.408423,0.3871575,2.311848,4.703366,0.0156448,0.01483365,6.211966,2.8425,26.43513
Needle SAT2 Hapto,SAT2,0.1367431,6.824641,2.42976,0.3692586,2.720115,4.018728,0.01402822,0.01321439,6.746437,3.0625,25.51653
Needle SAT2 Hapto,SAT2,0.1510581,5.419031,2.3401,0.4187861,2.319117,4.869254,0.0127873,0.01420618,5.391581,2.7675,24.27792
Needle SAT2 Hapto,SAT2,0.1355722,5.769047,2.214377,0.4241702,2.479055,4.245285,0.0122475,0.01166847,5.73367,2.985,23.85977
Needle SAT2 Hapto,SAT2,0.1434563,6.15057,2.17856,0.3941526,2.449124,4.52524,0.01242281,0.01247634,6.127593,2.95,25.90742
Needle SAT2 Hapto,SAT2,0.140334,6.240755,2.412379,0.3821246,2.619119,5.033193,0.01470985,0.01391856,6.209011,2.63,26.25746
Needle SAT2 Hapto,SAT2,0.131362,6.02286,2.448263,0.3764245,2.503424,5.245637,0.01492333,0.01478312,6.004041,2.5975,26.75255
