"ID","k","K","delta","b","r","nu","I0","A0","P0","vmax","tmax","cumviral","start"
"SAT1",0.325225,9.05215,1.62187,0.113498,4.27118,9.59377,3.08153,0.181853,0.00792052,7.75692,3.05947,34.2715,0.269475
"SAT1",0.340869,9.06059,1.76392,0.0982827,4.3458,7.39905,3.40532,0.211543,0.00742288,7.29278,3.42735,28.7543,0.48985
"SAT1",0.254268,8.27056,1.73675,0.101402,4.86139,9.44569,3.56612,0.152227,0.00691867,7.20917,2.95645,32.3085,0.33645
"SAT1",0.389946,8.76387,1.75436,0.110575,4.61772,8.0878,2.92043,0.178324,0.00699987,7.43379,3.18125,29.1132,0.46625
"SAT1",0.231807,9.80488,1.61773,0.0933688,4.42624,4.22502,3.6504,0.220559,0.0067783,8.03733,3.466,31.4876,0.5885
"SAT1",0.266961,8.67875,1.93527,0.0935424,4.55041,6.92328,3.66666,0.176938,0.00697815,7.42703,3.08487,31.0728,0.374875
"SAT1",0.240814,9.13596,1.65353,0.0851618,3.96674,6.7033,3.36259,0.241872,0.00854017,7.32585,3.32508,31.8977,0.300075
"SAT1",0.427316,9.09569,1.61367,0.100905,3.94053,8.68448,3.33327,0.175609,0.00707929,7.74975,3.35955,30.2921,0.38205
"SAT1",0.356379,6.94471,1.40061,0.121543,3.91842,8.93863,3.44056,0.12818,0.00861084,6.22956,3.15282,28.3035,0.242825
"SAT1",0.367564,7.75459,1.76573,0.103106,4.43818,4.78514,2.95845,0.180782,0.00799836,6.70526,3.087,30.0622,0.407
"SAT1",0.267897,9.21119,1.62473,0.0911579,4.2501,5.08297,3.14454,0.18614,0.00692226,7.86087,3.02283,34.805,0.150325
"SAT1",0.28483,9.20397,1.88796,0.0804885,4.4247,9.50169,3.54222,0.192751,0.00800765,7.86093,3.18815,36.997,0.30315
"SAT1",0.378573,8.83063,1.86246,0.10175,5.10969,6.06863,2.97165,0.173856,0.00984153,7.78031,3.04807,32.1731,0.638075
"SAT1",0.27582,9.45591,1.47109,0.099652,4.07698,7.43053,3.29864,0.180222,0.00903616,8.13672,3.16205,33.8357,0.30455
"SAT1",0.355819,9.26383,1.77421,0.101231,4.63541,7.9701,3.29886,0.225192,0.00762189,7.76709,3.16435,29.3629,0.42435
"SAT1",0.377321,6.90393,1.61907,0.104288,4.13478,7.40247,3.13235,0.155653,0.00679774,6.03964,3.13025,29.9066,0.22275
"SAT1",0.297659,9.37176,1.50766,0.100807,3.94375,5.46637,3.04086,0.186134,0.00726765,7.82853,3.57025,31.7555,0.50275
"SAT1",0.284723,7.5634,1.56003,0.104178,5.16055,7.4025,3.60219,0.23634,0.00937491,6.603,2.9325,31.315,0.6225
