ID,Transm,meanGrow
SAT1,0.847,3.4812
SAT1,0.848,3.4812
SAT1,0.848,3.4812
SAT1,0.848,3.4812
SAT1,0.849,3.4812
SAT1,0.849,3.4812
SAT1,0.85,3.4812
SAT1,0.85,3.4812
SAT1,0.85,3.4812
SAT1,0.85,3.4812
SAT1,0.85,3.4812
SAT1,0.85,3.4812
SAT1,0.851,3.4812
SAT1,0.852,3.4812
SAT1,0.852,3.4812
SAT1,0.852,3.4812
SAT1,0.852,3.4812
SAT1,0.852,3.4812
SAT1,0.853,3.4812
SAT1,0.853,3.4812
SAT1,0.854,3.4812
SAT1,0.855,3.4812
SAT1,0.856,3.4812
SAT1,0.856,3.4812
SAT1,0.856,3.4812
SAT1,0.857,3.4812
SAT1,0.857,3.4812
SAT1,0.857,3.4812
SAT1,0.857,3.4812
SAT1,0.857,3.4812
SAT1,0.857,3.4812
SAT1,0.858,3.4812
SAT1,0.858,3.4812
SAT1,0.858,3.4812
SAT1,0.858,3.4812
SAT1,0.859,3.4812
SAT1,0.86,3.4812
SAT1,0.86,3.4812
SAT1,0.86,3.4812
SAT1,0.86,3.4812
SAT1,0.86,3.4812
SAT1,0.86,3.4812
SAT1,0.861,3.4812
SAT1,0.861,3.4812
SAT1,0.861,3.4812
SAT1,0.861,3.4812
SAT1,0.862,3.4812
SAT1,0.862,3.4812
SAT1,0.862,3.4812
SAT1,0.863,3.4812
SAT1,0.863,3.4812
SAT1,0.863,3.4812
SAT1,0.864,3.4812
SAT1,0.864,3.4812
SAT1,0.864,3.4812
SAT1,0.864,3.4812
SAT1,0.864,3.4812
SAT1,0.864,3.4812
SAT1,0.864,3.4812
SAT1,0.864,3.4812
SAT1,0.864,3.4812
SAT1,0.864,3.4812
SAT1,0.864,3.4812
SAT1,0.865,3.4812
SAT1,0.865,3.4812
SAT1,0.867,3.4812
SAT1,0.867,3.4812
SAT1,0.867,3.4812
SAT1,0.867,3.4812
SAT1,0.868,3.4812
SAT1,0.868,3.4812
SAT1,0.868,3.4812
SAT1,0.869,3.4812
SAT1,0.869,3.4812
SAT1,0.87,3.4812
SAT1,0.87,3.4812
SAT1,0.871,3.4812
SAT1,0.871,3.4812
SAT1,0.871,3.4812
SAT1,0.871,3.4812
SAT1,0.871,3.4812
SAT1,0.871,3.4812
SAT1,0.871,3.4812
SAT1,0.871,3.4812
SAT1,0.871,3.4812
SAT1,0.872,3.4812
SAT1,0.872,3.4812
SAT1,0.873,3.4812
SAT1,0.873,3.4812
SAT1,0.874,3.4812
SAT1,0.875,3.4812
SAT1,0.875,3.4812
SAT1,0.875,3.4812
SAT1,0.876,3.4812
SAT1,0.876,3.4812
SAT1,0.876,3.4812
SAT1,0.876,3.4812
SAT1,0.876,3.4812
SAT1,0.876,3.4812
SAT1,0.877,3.4812
SAT1,0.877,3.4812
SAT1,0.878,3.4812
SAT1,0.879,3.4812
SAT1,0.879,3.4812
SAT1,0.879,3.4812
SAT1,0.879,3.4812
SAT1,0.879,3.4812
SAT1,0.88,3.4812
SAT1,0.88,3.4812
SAT1,0.88,3.4812
SAT1,0.88,3.4812
SAT1,0.88,3.4812
SAT1,0.881,3.4812
SAT1,0.881,3.4812
SAT1,0.881,3.4812
SAT1,0.881,3.4812
SAT1,0.881,3.4812
SAT1,0.883,3.4812
SAT1,0.883,3.4812
SAT1,0.883,3.4812
SAT1,0.884,3.4812
SAT1,0.884,3.4812
SAT1,0.884,3.4812
SAT1,0.886,3.4812
SAT1,0.886,3.4812
